party,mean,perc_2.5,perc_97.5,date
Republican,0.1277558309844446,0.1178063642518618,0.1362908758289504,2018-12-01
Democrat,0.1571675604331704,0.149329205366357,0.1640689941812136,2019-01-01
Fake,0.3077642589967129,0.0909090909090909,0.5714285714285714,2019-01-01
Independent,0.1181452379262716,0.0695652173913043,0.1710526315789473,2019-01-01
Republican,0.1553621866124251,0.1470048899755501,0.1672890216579537,2019-01-01
Democrat,0.1721193452220109,0.1656810982048574,0.1787100157315154,2019-02-01
Fake,0.2271813371813371,0.0,1.0,2019-02-01
Independent,0.1621317240081411,0.1196911196911196,0.2056737588652482,2019-02-01
Republican,0.1494094999755407,0.1396560708702449,0.1568601755995282,2019-02-01
Democrat,0.1560751060198497,0.1507819687212511,0.1620220349967595,2019-03-01
Fake,0.2631737757346242,0.1568627450980392,0.3684210526315789,2019-03-01
Independent,0.1290594857407922,0.0909090909090909,0.1822429906542056,2019-03-01
Republican,0.1552504883517847,0.1481481481481481,0.165391621129326,2019-03-01
Democrat,0.1712989453137227,0.1641619603713985,0.1785748083656667,2019-04-01
Fake,0.1650213323148242,0.0344827586206896,0.3214285714285714,2019-04-01
Independent,0.1401375644826179,0.0896551724137931,0.1962025316455696,2019-04-01
Republican,0.1647954538520372,0.1560731675220423,0.172776911076443,2019-04-01
Democrat,0.1487805642539803,0.1433977455716586,0.1531956415677346,2019-05-01
Fake,0.0738382554193998,0.0,0.1612903225806451,2019-05-01
Independent,0.1659562727797878,0.125,0.2177121771217712,2019-05-01
Republican,0.1509709935062835,0.1448898927159796,0.1592090395480226,2019-05-01
Democrat,0.1534324635921099,0.1481860391909971,0.1598701401536147,2019-06-01
Fake,0.1049433618785481,0.0,0.2258064516129032,2019-06-01
Independent,0.156997513888047,0.1157407407407407,0.2136363636363636,2019-06-01
Republican,0.1385350715187935,0.1318617820409106,0.1457470720454276,2019-06-01
Democrat,0.1758419163846689,0.1688543185869389,0.1824101615885521,2019-07-01
Fake,0.1188031240989328,0.0,0.25,2019-07-01
Independent,0.1251319279849924,0.0809248554913294,0.1717791411042944,2019-07-01
Republican,0.1627987690621666,0.1557327534130723,0.1707498144023756,2019-07-01
Democrat,0.1504134338054124,0.1438510888226258,0.1571129135149913,2019-08-01
Fake,0.0986443720495191,0.0,0.4,2019-08-01
Independent,0.1074449701834947,0.0660377358490566,0.1621621621621621,2019-08-01
Republican,0.1424393683720082,0.133313626958321,0.150672778352802,2019-08-01
Democrat,0.1576946338092232,0.1515669958783731,0.1653034198021344,2019-09-01
Fake,0.5121385816368014,0.2307692307692307,0.9090909090909092,2019-09-01
Independent,0.1499487960866405,0.0933333333333333,0.2035928143712574,2019-09-01
Republican,0.1629395743855518,0.155684683696963,0.1695820081781008,2019-09-01
Democrat,0.1836955227490651,0.1763311959855032,0.1912096939823372,2019-10-01
Fake,0.3126565579673164,0.0,0.5555555555555556,2019-10-01
Independent,0.1941093311990209,0.1374407582938388,0.2486486486486486,2019-10-01
Republican,0.1940138364385296,0.1867363027197477,0.2015328682322885,2019-10-01
Democrat,0.1827857299820613,0.176440366972477,0.1888656090990721,2019-11-01
Fake,0.2969566196703193,0.0,0.5714285714285714,2019-11-01
Independent,0.1943314216737938,0.1403508771929824,0.248780487804878,2019-11-01
Republican,0.1933626729191755,0.1848143982002249,0.2024246468690913,2019-11-01
Democrat,0.1704130799219735,0.162808465123386,0.17806461352657,2019-12-01
Fake,0.2866951853701853,0.0,0.75,2019-12-01
Independent,0.1995498481907094,0.1402439024390244,0.281767955801105,2019-12-01
Republican,0.222861752078414,0.2131830184846638,0.2312114989733059,2019-12-01
Democrat,0.2101112985317693,0.2048798893220978,0.2172222576327363,2020-01-01
Fake,0.0,0.0,0.0,2020-01-01
Independent,0.2940301787738294,0.2266009852216748,0.3651685393258427,2020-01-01
Libertarian,0.3980838574570304,0.2545454545454545,0.5588235294117647,2020-01-01
Republican,0.1922431705071929,0.1843846862695819,0.1989288446824789,2020-01-01
Democrat,0.165208085034396,0.160392798690671,0.172340066392843,2020-02-01
Fake,0.1977427849927849,0.0,0.6666666666666666,2020-02-01
Independent,0.112733893668674,0.0756302521008403,0.1428571428571428,2020-02-01
Libertarian,0.1766806552316843,0.0987654320987654,0.2678571428571428,2020-02-01
Republican,0.1736123425218503,0.1665467338290557,0.1809500687869223,2020-02-01
Democrat,0.1934889659215115,0.1885723405953236,0.1990772045662463,2020-03-01
Fake,0.0,0.0,0.0,2020-03-01
Independent,0.1484244382936734,0.1231028667790893,0.174863387978142,2020-03-01
Libertarian,0.1256848309785308,0.0828025477707006,0.1793103448275862,2020-03-01
Republican,0.1938014352758963,0.1881685091126382,0.1996030791436132,2020-03-01
Democrat,0.2118908902897261,0.2066898453422851,0.2174230145867098,2020-04-01
Independent,0.1659786095722321,0.1293375394321766,0.1987179487179487,2020-04-01
Libertarian,0.0999726778240925,0.0551181102362204,0.1512605042016806,2020-04-01
Republican,0.1962306405913177,0.190070304236919,0.2025666834423754,2020-04-01
Democrat,0.1864873821216024,0.1816142566360653,0.1911389277773202,2020-05-01
Independent,0.1746525407535995,0.1356466876971608,0.2149532710280373,2020-05-01
Libertarian,0.2250166642730902,0.165680473372781,0.2875,2020-05-01
Republican,0.174187359158038,0.168445022771633,0.1815311251449929,2020-05-01
Democrat,0.1703732288397856,0.1666100863792388,0.1748619104639036,2020-06-01
Independent,0.1946186890920346,0.1561561561561561,0.2443820224719101,2020-06-01
Libertarian,0.1808371089847945,0.1122448979591836,0.2894736842105263,2020-06-01
Republican,0.1655831506972087,0.1594664690626157,0.1719148298095666,2020-06-01
Democrat,0.1680610571253468,0.1634814321282042,0.1721641190667739,2020-07-01
Fake,0.0,0.0,0.0,2020-07-01
Independent,0.1868770393668655,0.1486880466472303,0.2280701754385964,2020-07-01
Libertarian,0.1554788488464473,0.0454545454545454,0.3076923076923077,2020-07-01
Republican,0.1641544531181328,0.1570826487606257,0.1697747812365514,2020-07-01
Democrat,0.1615253786221491,0.1575262954233651,0.1660585880769367,2020-08-01
Independent,0.1791003589200631,0.1425233644859813,0.2117400419287211,2020-08-01
Libertarian,0.2003690939110904,0.1126760563380281,0.2903225806451613,2020-08-01
Republican,0.1608446629679176,0.1545423143350604,0.1677522172949002,2020-08-01
Democrat,0.1681516213517198,0.1642358471002972,0.1728378052560879,2020-09-01
Fake,0.0,0.0,0.0,2020-09-01
Independent,0.1547684871471045,0.1048689138576779,0.198019801980198,2020-09-01
Libertarian,0.2432698488831848,0.1228070175438596,0.3396226415094339,2020-09-01
Republican,0.1616536131229785,0.1561398082276523,0.1666666666666666,2020-09-01
Democrat,0.1749625664601588,0.170877930882953,0.1791168764777302,2020-10-01
Fake,0.0760714088285295,0.0,0.25,2020-10-01
Independent,0.1637469713214782,0.1316455696202531,0.1955922865013774,2020-10-01
Libertarian,0.2506263578457126,0.1724137931034483,0.3442622950819672,2020-10-01
Republican,0.182059111282146,0.1758822526567028,0.1870811510953426,2020-10-01
Democrat,0.1978482794728659,0.192846337773874,0.2038787403888535,2020-11-01
Fake,0.2325372389585806,0.1111111111111111,0.3333333333333333,2020-11-01
Independent,0.2507821613162794,0.2042553191489361,0.3093220338983051,2020-11-01
Libertarian,0.2072598146082812,0.1463414634146341,0.2558139534883721,2020-11-01
Republican,0.1748491234698598,0.1677158695856431,0.1813568878030445,2020-11-01
Democrat,0.1781814099445384,0.1739624290083005,0.1830159772379076,2020-12-01
Fake,0.0439968976724686,0.0,0.1176470588235294,2020-12-01
Independent,0.141818758507795,0.1096774193548387,0.1785714285714285,2020-12-01
Libertarian,0.1881828056384271,0.1449814126394052,0.227891156462585,2020-12-01
Republican,0.1636365053812956,0.1575685542066389,0.1718218898708361,2020-12-01
Democrat,0.1874405828114969,0.1828616588890561,0.1920519794499849,2021-01-01
Fake,0.2353796429839793,0.0909090909090909,0.4137931034482758,2021-01-01
Independent,0.2039970091754824,0.168141592920354,0.2444444444444444,2021-01-01
Libertarian,0.2088509805177767,0.1509433962264151,0.2613065326633166,2021-01-01
Republican,0.1656289162128374,0.1597257066399063,0.1731780940060371,2021-01-01
Democrat,0.178202721269499,0.1729341413492796,0.1829982586670888,2021-02-01
Fake,0.0,0.0,0.0,2021-02-01
Independent,0.2245066240522203,0.1909814323607427,0.2632978723404255,2021-02-01
Libertarian,0.2683808417674564,0.1351351351351351,0.4166666666666667,2021-02-01
Republican,0.1874002964095983,0.1811345550120464,0.1944013590368564,2021-02-01
Democrat,0.1542862820172154,0.1498129959103778,0.1588466488122152,2021-03-01
Independent,0.162169959064245,0.1357466063348416,0.1957040572792363,2021-03-01
Libertarian,0.2151865154149163,0.0606060606060606,0.3333333333333333,2021-03-01
Republican,0.166380248912684,0.1609568090052612,0.1717153173000428,2021-03-01
Democrat,0.1531490421309078,0.148546269485542,0.1589864466705951,2021-04-01
Fake,0.0,0.0,0.0,2021-04-01
Independent,0.2054109008200217,0.1486988847583643,0.2661290322580645,2021-04-01
Libertarian,0.0916869044990368,0.0,0.25,2021-04-01
